"id","english","vietnamese","note","module","boi_canh","vi_du"
"788","Operational Technology (OT)","Công nghệ vận hành","Là các hệ thống phần cứng và phần mềm dùng để giám sát, điều khiển các quy trình vật lý trong sản xuất, năng lượng, giao thông, và hạ tầng công nghiệp","IOT","","Trong nhà máy điện, hệ thống OT điều khiển các máy phát và cảm biến nhiệt độ theo thời gian thực."
"789","Industrial Control Systems (ICS)","Hệ thống điều khiển công nghiệp","Là tập hợp các hệ thống và thiết bị dùng để giám sát, điều khiển và tự động hóa quy trình công nghiệp. ICS bao gồm SCADA, DCS, và PLC.","IOT","","Một hệ thống ICS trong nhà máy bia giám sát toàn bộ quy trình lên men và đóng chai."
"790","Industrial Automation and Control Systems (IACS)","Hệ thống điều khiển và tự động hóa công nghiệp","Khái niệm bao quát hơn ICS, bao gồm các thiết bị, phần mềm và giao thức phục vụ tự động hóa quy trình công nghiệp.","IOT","","IACS được sử dụng để tự động điều chỉnh tốc độ băng chuyền trong dây chuyền lắp ráp."
"791","Supervisory Control and Data Acquisition (SCADA)","Hệ thống giám sát và thu thập dữ liệu","Là hệ thống trung tâm dùng để giám sát, thu thập dữ liệu và điều khiển từ xa các thiết bị công nghiệp phân tán.","IOT","","SCADA được dùng để điều khiển hệ thống cấp nước của một thành phố từ trung tâm điều hành."
"792","Distributed Control Systems (DCS)","Hệ thống điều khiển phân tán","Là hệ thống điều khiển trong đó các bộ điều khiển được phân bố khắp nhà máy, kết nối với nhau qua mạng công nghiệp.","IOT","","Một nhà máy lọc dầu dùng DCS để điều khiển độc lập các khu vực chưng cất, lọc và đóng gói."
"793","Programmable Logic Controller (PLC)","Bộ điều khiển logic lập trình","Thiết bị điều khiển kỹ thuật số được lập trình để tự động hóa các quy trình máy móc.","IOT","","PLC điều khiển cánh tay robot sắp xếp sản phẩm trên dây chuyền."
"794","Remote Terminal Unit (RTU)","Thiết bị đầu cuối từ xa","Thiết bị dùng để thu thập dữ liệu và truyền về hệ thống trung tâm (như SCADA) qua mạng.","IOT","","RTU đo áp suất đường ống dầu và gửi dữ liệu về trung tâm SCADA."
"795","Human-Machine Interface (HMI)","Giao diện người – máy","Là phần mềm hoặc thiết bị cho phép người vận hành tương tác với hệ thống điều khiển công nghiệp.","IOT","","Kỹ sư sử dụng HMI để theo dõi nhiệt độ và lưu lượng trên màn hình cảm ứng."
"796","Intelligent Electronic Device (IED)","Thiết bị điện tử thông minh","Thiết bị có khả năng xử lý, giao tiếp và điều khiển tự động trong hệ thống điện và công nghiệp.","IOT","","IED được dùng trong trạm biến áp để tự động cắt điện khi phát hiện sự cố."
"797","Safety Instrumented System (SIS)","Hệ thống thiết bị an toàn","Hệ thống được thiết kế để ngăn chặn hoặc giảm thiểu rủi ro khi xảy ra lỗi hoặc sự cố nguy hiểm trong quy trình công nghiệp.","IOT","","SIS tự động đóng van khi phát hiện áp suất vượt ngưỡng trong đường ống khí."
"798","Programmable Automation Controller (PAC)","Bộ điều khiển tự động lập trình","Kết hợp khả năng của PLC và máy tính công nghiệp, dùng trong các ứng dụng phức tạp hơn PLC","IOT","","PAC được dùng để điều khiển nhiều dây chuyền sản xuất phối hợp cùng lúc."
"799","Edge Programmable Industrial Controller (EPIC)","Bộ điều khiển công nghiệp lập trình tại biên","Là thiết bị điều khiển kết hợp khả năng tự động hóa công nghiệp và điện toán biên, giúp xử lý dữ liệu ngay tại nguồn.","IOT","","EPIC xử lý dữ liệu cảm biến trong nhà máy mà không cần gửi lên đám mây."
"800","Final Control Elements (FCE)","Phần tử điều khiển cuối cùng","Là thiết bị thực hiện hành động điều khiển, như van, động cơ, hoặc bộ truyền động.","IOT","","Van điều khiển là FCE mở/đóng để điều chỉnh lưu lượng nước trong đường ống."
"801","Process Variable (PV)","Biến quá trình","Là giá trị đo được của một thông số trong quy trình công nghiệp, như áp suất, nhiệt độ, tốc độ,...","IOT","","PV hiện tại của nhiệt độ lò nung là 850°C."
"802","Setpoint (SP)","Giá trị đặt (điểm đặt)","Là giá trị mục tiêu mà hệ thống điều khiển cần duy trì cho biến quá trình.","IOT","","SP được đặt ở 900°C để hệ thống tự điều chỉnh giữ nhiệt độ ổn định."
"803","Purdue Model (PERA)","Mô hình Purdue (PERA)","Là mô hình phân tầng dùng để mô tả cấu trúc hệ thống công nghiệp từ tầng vật lý đến tầng doanh nghiệp.","IOT","","Trong mô hình Purdue, tầng 0–1 là thiết bị cảm biến và điều khiển, tầng 4 là hệ thống quản trị doanh nghiệp."
"804","Control Loop","Vòng điều khiển","Chu trình trong đó tín hiệu từ cảm biến được so sánh với SP và điều chỉnh qua FCE để duy trì ổn định.","IOT","","Vòng điều khiển nhiệt độ tự động tăng giảm công suất lò để duy trì SP."
"805","Process Control","Điều khiển quá trình","Kỹ thuật điều khiển các thông số vật lý trong quy trình sản xuất (nhiệt độ, áp suất, lưu lượng,...).","IOT","","Hệ thống process control điều chỉnh tốc độ bơm dựa trên áp suất đường ống."
"806","Discrete Control","Điều khiển rời rạc","Dạng điều khiển chỉ có hai trạng thái (bật/tắt, mở/đóng)","IOT","","Cảm biến cửa hoạt động theo nguyên lý discrete control — đóng hoặc mở."
"807","Batch Control","Kiểm soát hang loạt","Kiểu điều khiển dùng trong các quy trình sản xuất theo từng lô hoặc mẻ riêng biệt.","IOT","","Trong nhà máy dược, mỗi mẻ thuốc được sản xuất theo quy trình batch control."
"808","Continuous Control","Điều khiển liên tục","Dạng điều khiển duy trì quy trình diễn ra không gián đoạn.","IOT","","Nhà máy lọc dầu vận hành theo continuous control để đảm bảo sản xuất 24/7."
"809","Plant Floor","Khu vực sản xuất (xưởng)","Nơi đặt các thiết bị, dây chuyền và máy móc vận hành trong nhà máy.","IOT","","Nhân viên vận hành kiểm tra HMI ngay tại plant floor để theo dõi hoạt động máy móc."
"810","Operations","Hoạt động vận hành","oàn bộ quá trình điều khiển, giám sát và bảo trì hệ thống công nghiệp.","IOT","","Bộ phận Operations chịu trách nhiệm đảm bảo nhà máy hoạt động ổn định và an toàn."
"811","Field Device","Thiết bị hiện trường","Các cảm biến, bộ truyền động, và thiết bị được lắp đặt trực tiếp tại khu vực sản xuất.","IOT","","Cảm biến áp suất và van điện là những field devices trong hệ thống điều khiển."
"812","Fieldbus","Mạng truyền thông công nghiệp hiện trường","Hệ thống mạng dùng để kết nối các field device với bộ điều khiển.","IOT","","Fieldbus Profibus được sử dụng trong nhà máy bia để kết nối PLC với cảm biến."
"813","Data Historian","Hệ thống lưu trữ dữ liệu quá khứ","Cơ sở dữ liệu chuyên dụng để lưu trữ, phân tích và trực quan hóa dữ liệu công nghiệp theo thời gian.","IOT","","Data Historian lưu lại nhiệt độ, áp suất và trạng thái van của toàn bộ dây chuyền trong 12 tháng qua."
"814","Process Hazard Analysis (PHA)","Phân tích mối nguy trong quy trình","Là quá trình nhận dạng, đánh giá và kiểm soát các rủi ro có thể xảy ra trong quy trình sản xuất hoặc vận hành công nghiệp.","IOT","","Trước khi khởi động dây chuyền lọc hóa dầu, nhóm kỹ sư thực hiện PHA để đánh giá nguy cơ rò rỉ khí độc."
"815","Manufacturing Execution System (MES)","Hệ thống điều hành sản xuất","Phần mềm trung gian giữa hệ thống điều khiển (OT) và hệ thống quản lý doanh nghiệp (ERP), giúp giám sát, điều phối, và tối ưu hóa sản xuất theo thời gian thực.","IOT","","MES ghi nhận thời gian hoạt động của từng máy trong dây chuyền và báo cáo hiệu suất sản xuất."
"816","Enterprise Resource Planning (ERP)","Hệ thống hoạch định nguồn lực doanh nghiệp","Hệ thống phần mềm tích hợp giúp doanh nghiệp quản lý các hoạt động tài chính, nhân sự, kho, và sản xuất.","IOT","","ERP tự động cập nhật tồn kho sau khi MES báo hoàn thành đơn hàng."
"817","Internet of Things (IoT)","Internet vạn vật","Mạng lưới các thiết bị được kết nối Internet có khả năng thu thập, trao đổi và xử lý dữ liệu.","IOT","","Cảm biến nhiệt độ IoT gửi dữ liệu liên tục về ứng dụng di động để theo dõi môi trường."
"818","Industrial Internet of Things (IIoT)","Internet vạn vật công nghiệp","Dạng IoT ứng dụng trong công nghiệp, nơi các cảm biến, máy móc, và thiết bị điều khiển được kết nối để tối ưu hóa sản xuất.","IOT","","IIoT cho phép nhà máy giám sát tình trạng máy móc từ xa và dự đoán sự cố trước khi xảy ra."
"819","Machine-to-Machine (M2M)","Giao tiếp máy – máy","Công nghệ cho phép các thiết bị trao đổi dữ liệu trực tiếp mà không cần con người can thiệp.","IOT","","Cảm biến và bộ điều khiển M2M trao đổi thông tin để tự động điều chỉnh tốc độ bơm."
"820","Sensor","Cảm biến","Thiết bị dùng để đo và thu thập dữ liệu vật lý như nhiệt độ, áp suất, độ ẩm, ánh sáng,...","IOT","","Cảm biến nhiệt đo nhiệt độ lò nung và gửi dữ liệu về PLC."
"821","Actuator","Bộ truyền động","Thiết bị chuyển đổi tín hiệu điều khiển thành hành động vật lý, như đóng/mở van hoặc di chuyển cơ cấu","IOT","","Bộ truyền động điều khiển van nước mở khi cảm biến phát hiện áp suất giảm."
"822","Transducer","Bộ chuyển đổi tín hiệu","Thiết bị chuyển đổi một dạng năng lượng như cơ học, âm thanh, ánh sáng sang dạng điện và ngược lại","IOT","","Micro là một bộ chuyển đổi tín hiệu (transducer) biến dao động âm thanh thành tín hiệu điện."
"823","IoT Gateway","Cổng kết nối IoT","Thiết bị trung gian kết nối các cảm biến, thiết bị IoT với đám mây, đồng thời xử lý dữ liệu cục bộ","IOT","","Cổng IoT thu thập dữ liệu từ hàng chục cảm biến và gửi về máy chủ trung tâm."
"824","Edge Gateway","Cổng kết nối biên","Thiết bị đặt ở biên mạng có khả năng xử lý, lọc và phân tích dữ liệu trước khi truyền lên đám mây","IOT","","Edge Gateway trong nhà máy lọc dầu xử lý dữ liệu áp suất tại chỗ để giảm độ trễ."
"825","Embedded System","Hệ thống nhúng","Hệ thống máy tính chuyên dụng được tích hợp trong thiết bị để thực hiện chức năng cụ thể","IOT","","Bộ vi xử lý trong máy giặt là một hệ thống nhúng điều khiển chương trình giặt."
"826","System-on-a-Chip (SoC)","Hệ thống trên chip","Vi mạch tích hợp chứa CPU, GPU, bộ nhớ và các mô-đun giao tiếp trên cùng một chip","IOT","","Raspberry Pi dùng SoC Broadcom tích hợp cả xử lý và đồ họa trên một vi mạch duy nhất."
"827","Microcontroller Unit (MCU)","Vi điều khiển","Bộ xử lý nhỏ gọn tích hợp CPU, bộ nhớ và các cổng I/O để điều khiển thiết bị tự động","IOT","","Arduino Uno sử dụng vi điều khiển ATmega328 để điều khiển cảm biến và đèn LED."
"828","Radio Frequency Identification (RFID)","Nhận dạng qua tần số vô tuyến","Công nghệ dùng sóng radio để nhận dạng và theo dõi thẻ hoặc vật thể gắn chip RFID","IOT","","Thẻ RFID được sử dụng để kiểm soát ra vào trong khu vực nhà máy."
